Name,Types,Abilities,Height,Weight,Base Experience,Flavor Text
pelipper,"water, flying","keen-eye, drizzle, rain-dish",12,280,154,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
ralts,"psychic, fairy","synchronize, trace, telepathy",4,66,40,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
kirlia,"psychic, fairy","synchronize, trace, telepathy",8,202,97,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.
gardevoir,"psychic, fairy","synchronize, trace, telepathy",16,484,259,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
surskit,"bug, water","swift-swim, rain-dish",5,17,54,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
masquerain,"bug, flying","intimidate, unnerve",8,36,159,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.
shroomish,grass,"effect-spore, poison-heal, quick-feet",4,45,59,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
breloom,"grass, fighting","effect-spore, poison-heal, technician",12,392,161,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
slakoth,normal,truant,8,240,56,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
vigoroth,normal,vital-spirit,14,465,154,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.
slaking,normal,truant,20,1305,252,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
nincada,"bug, ground","compound-eyes, run-away",5,55,53,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.
ninjask,"bug, flying","speed-boost, infiltrator",8,120,160,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
shedinja,"bug, ghost",wonder-guard,8,12,83,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
whismur,normal,"soundproof, rattled",6,163,48,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
loudred,normal,"soundproof, scrappy",10,405,126,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
exploud,normal,"soundproof, scrappy",15,840,245,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
makuhita,fighting,"thick-fat, guts, sheer-force",10,864,47,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
hariyama,fighting,"thick-fat, guts, sheer-force",23,2538,166,It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts.
azurill,"normal, fairy","thick-fat, huge-power, sap-sipper",2,20,38,A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.
nosepass,rock,"sturdy, magnet-pull, sand-force",10,970,75,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
skitty,normal,"cute-charm, normalize, wonder-skin",6,110,52,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.
delcatty,normal,"cute-charm, normalize, wonder-skin",11,326,140,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
sableye,"dark, ghost","keen-eye, stall, prankster",5,110,133,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
mawile,"steel, fairy","hyper-cutter, intimidate, sheer-force",6,115,133,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws."
aron,"steel, rock","sturdy, rock-head, heavy-metal",4,600,66,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
lairon,"steel, rock","sturdy, rock-head, heavy-metal",9,1200,151,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.
aggron,"steel, rock","sturdy, rock-head, heavy-metal",21,3600,265,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.
meditite,"fighting, psychic","pure-power, telepathy",6,112,56,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
medicham,"fighting, psychic","pure-power, telepathy",13,315,144,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
electrike,electric,"static, lightning-rod, minus",6,152,59,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
manectric,electric,"static, lightning-rod, minus",15,402,166,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
plusle,electric,"plus, lightning-rod",4,42,142,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
minun,electric,"minus, volt-absorb",4,42,142,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
volbeat,bug,"illuminate, swarm, prankster",7,177,151,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE."
illumise,bug,"oblivious, tinted-lens, prankster",6,177,151,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
roselia,"grass, poison","natural-cure, poison-point, leaf-guard",3,20,140,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.
gulpin,poison,"liquid-ooze, sticky-hold, gluttony",4,103,60,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
swalot,poison,"liquid-ooze, sticky-hold, gluttony",17,800,163,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
carvanha,"water, dark","rough-skin, speed-boost",8,208,61,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.
sharpedo,"water, dark","rough-skin, speed-boost",18,888,161,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker."
wailmer,water,"water-veil, oblivious, pressure",20,1300,80,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
wailord,water,"water-veil, oblivious, pressure",145,3980,175,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
numel,"fire, ground","oblivious, simple, own-tempo",7,240,61,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
camerupt,"fire, ground","magma-armor, solid-rock, anger-point",19,2200,161,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
torkoal,fire,"white-smoke, drought, shell-armor",5,804,165,You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.
spoink,psychic,"thick-fat, own-tempo, gluttony",7,306,66,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
grumpig,psychic,"thick-fat, own-tempo, gluttony",9,715,165,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
spinda,normal,"own-tempo, tangled-feet, contrary",11,50,126,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
trapinch,ground,"hyper-cutter, arena-trap, sheer-force",7,150,58,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
vibrava,"ground, dragon",levitate,11,153,119,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
flygon,"ground, dragon",levitate,20,820,260,"FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
cacnea,grass,"sand-veil, water-absorb",4,513,67,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
cacturne,"grass, dark","sand-veil, water-absorb",13,774,166,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
swablu,"normal, flying","natural-cure, cloud-nine",4,12,62,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
altaria,"dragon, flying","natural-cure, cloud-nine",11,206,172,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
zangoose,normal,"immunity, toxic-boost",13,403,160,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
seviper,poison,"shed-skin, infiltrator",27,525,160,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.
lunatone,"rock, psychic",levitate,10,1680,161,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far."
solrock,"rock, psychic",levitate,12,1540,161,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
barboach,"water, ground","oblivious, anticipation, hydration",4,19,58,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
whiscash,"water, ground","oblivious, anticipation, hydration",9,236,164,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
corphish,water,"hyper-cutter, shell-armor, adaptability",6,115,62,Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.
crawdaunt,"water, dark","hyper-cutter, shell-armor, adaptability",11,328,164,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places."
baltoy,"ground, psychic",levitate,5,215,60,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.
claydol,"ground, psychic",levitate,15,1080,175,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.
lileep,"rock, grass","suction-cups, storm-drain",10,238,71,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals.
cradily,"rock, grass","suction-cups, storm-drain",15,604,173,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
anorith,"rock, bug","battle-armor, swift-swim",7,125,71,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.
armaldo,"rock, bug","battle-armor, swift-swim",15,682,173,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
feebas,water,"swift-swim, oblivious, adaptability",6,74,40,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
milotic,water,"marvel-scale, competitive, cute-charm",62,1620,189,Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.
castform,normal,forecast,3,8,147,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
kecleon,normal,"color-change, protean",10,220,154,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.
shuppet,ghost,"insomnia, frisk, cursed-body",6,23,59,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home."
banette,ghost,"insomnia, frisk, cursed-body",11,125,159,BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.
duskull,ghost,"levitate, frisk",8,150,59,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn."
dusclops,ghost,"pressure, frisk",16,306,159,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out."
tropius,"grass, flying","chlorophyll, solar-power, harvest",20,1000,161,"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
chimecho,psychic,levitate,6,10,159,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
absol,dark,"pressure, super-luck, justified",12,470,163,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON."
wynaut,psychic,"shadow-tag, telepathy",6,140,52,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
snorunt,ice,"inner-focus, ice-body, moody",7,168,60,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
glalie,ice,"inner-focus, ice-body, moody",15,2565,168,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
spheal,"ice, water","thick-fat, ice-body, oblivious",8,395,58,"SPHEAL is much faster rolling than  walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
sealeo,"ice, water","thick-fat, ice-body, oblivious",11,876,144,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.
walrein,"ice, water","thick-fat, ice-body, oblivious",14,1506,265,It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.
clamperl,water,"shell-armor, rattled",4,525,69,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
huntail,water,"swift-swim, water-veil",17,270,170,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.
gorebyss,water,"swift-swim, hydration",18,226,170,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks."
relicanth,"water, rock","swift-swim, rock-head, sturdy",10,234,170,RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.
luvdisc,water,"swift-swim, hydration",6,87,116,LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.
bagon,dragon,"rock-head, sheer-force",6,421,60,"Dreaming of one day flying, it practices by leaping off cliffs every day."
shelgon,dragon,"rock-head, overcoat",11,1105,147,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish."
salamence,"dragon, flying","intimidate, moxie",15,1026,300,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings."
beldum,"steel, psychic","clear-body, light-metal",6,952,60,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism."
metang,"steel, psychic","clear-body, light-metal",12,2025,147,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power."
metagross,"steel, psychic","clear-body, light-metal",16,5500,300,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
regirock,rock,"clear-body, sturdy",17,2300,290,"Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself."
regice,ice,"clear-body, ice-body",18,1750,290,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F."
registeel,steel,"clear-body, light-metal",19,2050,290,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.
latias,"dragon, psychic",levitate,14,400,300,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe."
latios,"dragon, psychic",levitate,20,600,300,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.
kyogre,water,drizzle,45,3520,335,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.
groudon,ground,drought,35,9500,335,GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
rayquaza,"dragon, flying",air-lock,70,2065,340,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere."
jirachi,"steel, psychic",serene-grace,3,11,300,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening."
deoxys-normal,psychic,pressure,17,608,270,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.
turtwig,grass,"overgrow, shell-armor",4,102,64,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
grotle,grass,"overgrow, shell-armor",11,970,142,It knows where pure water wells up. It carries fellow Pokémon there on its back.
torterra,"grass, ground","overgrow, shell-armor",22,3100,236,Small Pokémon occasionally gather on its unmoving back to begin building their nests.
chimchar,fire,"blaze, iron-fist",5,62,62,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
monferno,"fire, fighting","blaze, iron-fist",9,220,142,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger."
infernape,"fire, fighting","blaze, iron-fist",12,550,240,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.
piplup,water,"torrent, competitive",4,52,63,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold."
prinplup,water,"torrent, competitive",8,230,142,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
empoleon,"water, steel","torrent, competitive",17,845,239,The three horns that extend from its beak attest to its power. The leader has the biggest horns.
starly,"normal, flying","keen-eye, reckless",3,20,49,"They flock in great numbers. Though small, they flap their wings with great power."
staravia,"normal, flying","intimidate, reckless",6,155,119,It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.
staraptor,"normal, flying","intimidate, reckless",12,249,218,It has a savage nature. It will courageously challenge foes that are much larger.
bidoof,normal,"simple, unaware, moody",5,200,50,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
bibarel,"normal, water","simple, unaware, moody",10,315,144,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.
kricketot,bug,"shed-skin, run-away",3,22,39,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
kricketune,bug,"swarm, technician",10,255,134,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
shinx,electric,"rivalry, intimidate, guts",5,95,53,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
luxio,electric,"rivalry, intimidate, guts",9,305,127,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.
luxray,electric,"rivalry, intimidate, guts",14,420,262,It has eyes that can see through anything. It spots and captures prey hiding behind objects.
budew,"grass, poison","natural-cure, poison-point, leaf-guard",2,12,56,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
roserade,"grass, poison","natural-cure, poison-point, technician",9,145,258,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms."
cranidos,rock,"mold-breaker, sheer-force",9,315,70,It lived in jungles around 100 million years ago. Its skull is as hard as iron.
rampardos,rock,"mold-breaker, sheer-force",16,1025,173,Its powerful head butt has enough power to shatter even the most durable things upon impact.
shieldon,"rock, steel","sturdy, soundproof",5,570,70,A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.
bastiodon,"rock, steel","sturdy, soundproof",13,1495,173,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
burmy,bug,"shed-skin, overcoat",2,34,45,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
wormadam-plant,"bug, grass","anticipation, overcoat",5,65,148,"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
mothim,"bug, flying","swarm, tinted-lens",9,233,148,It loves the honey of flowers and steals honey collected by COMBEE.
combee,"bug, flying","honey-gather, hustle",3,55,49,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.
vespiquen,"bug, flying","pressure, unnerve",12,385,166,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.
pachirisu,electric,"run-away, pickup, volt-absorb",4,39,142,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
buizel,water,"swift-swim, water-veil",7,295,66,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.
floatzel,water,"swift-swim, water-veil",11,335,173,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
cherubi,grass,chlorophyll,4,33,55,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty."
cherrim,grass,flower-gift,5,93,158,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
shellos,water,"sticky-hold, storm-drain, sand-force",3,63,65,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
gastrodon,"water, ground","sticky-hold, storm-drain, sand-force",9,299,166,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back."
ambipom,normal,"technician, pickup, skill-link",12,203,169,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now."
drifloon,"ghost, flying","aftermath, unburden, flare-boost",4,12,70,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
drifblim,"ghost, flying","aftermath, unburden, flare-boost",12,150,174,"At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish."
buneary,normal,"run-away, klutz, limber",4,55,70,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.
lopunny,normal,"cute-charm, klutz, limber",12,333,168,An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.
mismagius,ghost,levitate,9,44,173,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.
honchkrow,"dark, flying","insomnia, super-luck, moxie",9,273,177,"Becoming active at night, it is known to swarm with numerous MURKROW in tow."
glameow,normal,"limber, own-tempo, keen-eye",5,39,62,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
purugly,normal,"thick-fat, own-tempo, defiant",10,438,158,It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.
chingling,psychic,levitate,2,6,57,It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.
stunky,"poison, dark","stench, aftermath, keen-eye",4,192,66,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
skuntank,"poison, dark","stench, aftermath, keen-eye",10,380,168,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
bronzor,"steel, psychic","levitate, heatproof, heavy-metal",5,605,60,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
bronzong,"steel, psychic","levitate, heatproof, heavy-metal",13,1870,175,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
bonsly,rock,"sturdy, rock-head, rattled",5,150,58,It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.
mime-jr,"psychic, fairy","soundproof, filter, technician",6,130,62,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
happiny,normal,"natural-cure, serene-grace, friend-guard",6,244,110,It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.
chatot,"normal, flying","keen-eye, tangled-feet, big-pecks",5,19,144,"It can learn and speak human words. If they gather, they all learn the same saying."
spiritomb,"ghost, dark","pressure, infiltrator",10,1080,170,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.
gible,"dragon, ground","sand-veil, rough-skin",7,205,60,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close."
gabite,"dragon, ground","sand-veil, rough-skin",14,560,144,There is a long-held belief that medicine made from its scales will heal even incurable illnesses.
garchomp,"dragon, ground","sand-veil, rough-skin",19,950,300,"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed."
munchlax,normal,"pickup, thick-fat, gluttony",6,1050,78,"It wolfs down its weight in food once a day, swallowing food whole with almost no chewing."
riolu,fighting,"steadfast, inner-focus, prankster",7,202,57,The aura that emanates from its body intensifies to alert others if it is afraid or sad.
lucario,"fighting, steel","steadfast, inner-focus, justified",12,540,184,It has the ability to sense the auras of all things. It understands human speech.
hippopotas,ground,"sand-stream, sand-force",8,495,66,"It lives in arid places. Instead of perspiration, it expels grainy sand from its body."
hippowdon,ground,"sand-stream, sand-force",20,3000,184,It blasts internally stored sand from ports on its body to create a towering twister for attack.
skorupi,"poison, bug","battle-armor, sniper, keen-eye",8,120,66,It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.
drapion,"poison, dark","battle-armor, sniper, keen-eye",13,615,175,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.
croagunk,"poison, fighting","anticipation, dry-skin, poison-touch",7,230,60,Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.
toxicroak,"poison, fighting","anticipation, dry-skin, poison-touch",13,444,172,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.
carnivine,grass,levitate,14,270,159,"It attracts prey with its sweet- smelling saliva, then chomps down. It takes a whole day to eat prey."
finneon,water,"swift-swim, storm-drain, water-veil",4,70,66,"After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives."
